作品名,放送開始日,スタッフ,公式サイト,Link,公式Twitter,URL
真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,最速放送日  2021年10月～(放送局未定),"原作︓ざっぽん(株式会社KADOKAWA ⾓川スニーカー⽂庫刊)、原作イラスト：やすも、監督：星野真、シリーズ構成：清水恵、キャラクターデザイン：渡辺るりこ
            、制作会社：ウルフズベイン、スタジオフラッド",「真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました」公式サイト,https://shinnonakama.com/,「真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました」公式Twitter,https://twitter.com/shinnonakama_tv
世界最高の暗殺者、異世界貴族に転生する,最速放送日  2021年10月～(放送局未定),"原作：月夜涙(株式会社KADOKAWA 角川スニーカー文庫刊)、キャラクター原案：れい亜、監督：田村正文、シリーズ構成・脚本：高山カツヒコ、キャラクターデザイン：長田絵里
            、制作会社：SILVER LINK.",「世界最高の暗殺者、異世界貴族に転生する」公式サイト,https://ansatsu-kizoku.jp/,「世界最高の暗殺者、異世界貴族に転生する」公式Twitter,https://twitter.com/ansatsu_kizoku
先輩がうざい後輩の話,最速放送日  2021年10月～(放送局未定),,「先輩がうざい後輩の話」公式サイト,https://senpaiga-uzai-anime.com/,「先輩がうざい後輩の話」公式Twitter,https://twitter.com/uzai_anime
大正オトメ御伽話,最速放送日  2021年秋～(放送局未定),"原作：桐丘さな(集英社 ジャンプコミックス刊)、監督：羽鳥潤、シリーズ構成・脚本：福田裕子、キャラクターデザイン：渡辺まゆみ、音楽：高梨康治、美術監督：松本浩樹、色彩設計：瀬戸治子、撮影監督：坪内弘樹、編集：村井秀明、音響監督：郷文裕貴、音響効果：山田香織、音響制作：ビットグルーヴプロモーション、音楽制作：ポニーキャニオン
            、制作会社：Synergy SP",「大正オトメ御伽話」公式サイト,https://taisho-otome.com/,「大正オトメ御伽話」公式Twitter,https://twitter.com/otome_otogi
盾の勇者の成り上がり 2ndSeason,最速放送日  2021年10月～(放送局未定),"原作：アネコユサギ(MFブックス『盾の勇者の成り上がり』/KADOKAWA刊)、原作イラスト：弥南せいら、監督：神保昌登、シリーズ構成：小柳啓伍、キャラクターデザイン：諏訪真弘、総作画監督：諏訪真弘/世良コータ、デザインリーダー：高倉武史、プロップデザイン：ヒラタリョウ/みき尾、衣装デザイン：藤木かほる、美術監督：佐藤勝、美術デザイン：小倉奈緒美、3DCGディレクター：郷博、3DCG：ENGI&GOES、2Dアーティスト：hydekick、モーショングラフックス：上村秀勝、色彩設定：松山愛子、撮影監督：梶原幸代、編集：須藤瞳、音響制作：グロービジョン、音響監督：郷文裕貴、音楽：Kevin Penkin、音楽プロデューサー：植村俊一/飯島弘光
            、制作会社：キネマシトラス、DR MOVIE",「盾の勇者の成り上がり 2ndSeason」公式サイト,http://shieldhero-anime.jp/,「盾の勇者の成り上がり 2ndSeason」公式Twitter,https://twitter.com/shieldheroanime
デート・ア・ライブIV,最速放送日  2021年10月～(放送局未定),"原作：橘公司／原作イラスト：つなこ(株式会社KADOKAWA ファンタジア文庫刊)、監督：中川淳、シリーズ構成：志茂文彦、キャラクターデザイン：中村直人、音楽：坂部剛
            、制作会社：ギークトイズ",「デート・ア・ライブIV」公式サイト,https://date-a-live4th-anime.com/,「デート・ア・ライブIV」公式Twitter,https://twitter.com/date_a_info
半妖の夜叉姫 弐の章,最速放送日  2021年秋～(放送局未定),,「半妖の夜叉姫 弐の章」公式サイト,http://hanyo-yashahime.com/,,
薔薇王の葬列,最速放送日  2021年秋～(放送局未定),"原作：菅野文『薔薇王の葬列』(秋田書店「月刊プリンセス」連載)、監督：鈴木健太郎、シリーズ構成・脚本：内田裕基、キャラクターデザイン：橋詰力
            、制作会社：J.C.STAFF",「薔薇王の葬列」公式サイト,https://baraou-anime.com/,「薔薇王の葬列」公式Twitter,https://twitter.com/baraou_anime
180秒で君の耳を幸せにできるか,最速放送日  2021年10月～(放送局未定),,「180秒で君の耳を幸せにできるか」公式サイト,https://180-kimimimi.jp/,「180秒で君の耳を幸せにできるか」公式Twitter,https://twitter.com/180Kimimimi
ビルディバイド -#000000(コード ブラック)- 1st season,最速放送日  2021年10月～(放送局未定),"原案：河本ほむら/武野光、監督：駒田由貴、シリーズ構成：冨田頼子、キャラクターデザイン：友岡新平
            、制作会社：ライデンフィルム",「ビルディバイド -#000000(コード ブラック)- 1st season」公式サイト,https://anime.build-divide.com/,,
プラオレ！～PRIDE OF ORANGE～,最速放送日  2021年10月～(とちぎテレビ),"原作：プラオレ！メディアミックスパートナーズ、原作キャラクターデザイン・原作衣装デザイン：Craft Egg、、監督：安齋剛文、製作総指揮/エグゼクティブプロデューサー：落合雅也、エグゼクティブプロデューサー：東條寛、ゼネラルプロデューサー：田中宏幸/村上浩一、プロデューサー：村上貴志/瀧田弘、シリーズ構成：待田堂子、アニメーションキャラクターデザイン：田中紀衣、音響監督：藤田亜紀子、アイスホッケー設定考証：H.C.栃木日光アイスバックス、音楽：MONACA/木皿陽平、アニメーション制作統括：山田良輔、アニメーションプロデューサー：早坂一将、協力：栃木県日光市/株式会社とちぎテレビ 株式会社エフエム栃木/CRT栃木放送 株式会社新朝プレス
            、制作会社：C2C",「プラオレ！～PRIDE OF ORANGE～」公式サイト,https://puraore.com/,「プラオレ！～PRIDE OF ORANGE～」公式Twitter,https://twitter.com/puraore
ブルーピリオド,最速放送日  2021年10月～(放送局未定),"原作：山口つばさ『ブルーピリオド』(講談社「アフタヌーン」連載)、総監督：舛成孝二、監督：浅野勝也、シリーズ構成・脚本：吉田玲子、キャラクターデザイン：下谷智之
            、制作会社：セブン・アークス",「ブルーピリオド」公式サイト,https://blue-period.jp/,「ブルーピリオド」公式Twitter,https://twitter.com/blueperiod_PR
プラチナエンド,最速放送日  2021年秋～(TBS),"原作：大場つぐみ・小畑健(集英社「ジャンプSQ.」連載)、監督：髙橋秀弥、キャラクターデザイン：大舘康二、シリーズ構成：猪爪慎一、美術：草薙、CGIディレクター：池田正憲、音響監督：濱野高年、音響制作：マジックカプセル
            、制作会社：Signal-MD",「プラチナエンド」公式サイト,https://anime-platinumend.com/,「プラチナエンド」公式Twitter,https://twitter.com/ani_platinumend
マブラヴ オルタネイティヴ,最速放送日  2021年10月～(フジテレビ),,「マブラヴ オルタネイティヴ」公式サイト,https://muv-luv-alternative-anime.com/,「マブラヴ オルタネイティヴ」公式Twitter,https://twitter.com/Muv_Luv_A_anime
無職転生 ～異世界行ったら本気だす(第2クール),最速放送日  2021年10月～(放送局未定),原作：理不尽な孫の手、原作イラスト：シロタカ、原作企画：フロンティアワークス、発行：KADOKAWA 『無職転生 ～異世界行ったら本気だす～』(MFブックス 刊),「無職転生 ～異世界行ったら本気だす(第2クール)」公式サイト,https://mushokutensei.jp/,「無職転生 ～異世界行ったら本気だす(第2クール)」公式Twitter,https://twitter.com/mushokutensei_A
MUTEKING THE Dancing HERO,最速放送日  2021年秋～(放送局未定),"原作：タツノコプロ、キャラクター原案：Utomaru、総監督：髙橋良輔、監督：サトウユーゾー、副監督：佐藤まさふみ、エグゼクティブディレクター：笹川ひろし、バトルダンスディレクター：佐藤まさふみ、3DCGディレクター：乙部善弘、シリーズ構成：近藤祐次、音楽：島崎貴光/増田武史、音楽プロデューサー：島崎貴光、音楽制作：ビクターエンタテインメント/スマイルカンパニー、音響監督：伊藤巧
            、制作会社：タツノコプロ、手塚プロダクション",「MUTEKING THE Dancing HERO」公式サイト,https://muteking.jp/,「MUTEKING THE Dancing HERO」公式Twitter,https://twitter.com/MUTEKING2021
やくならマグカップも 二番窯,最速放送日  2021年10月～(CBCテレビ),"原作：プラネット/日本アニメーション、監督：神谷純、シリーズ構成・脚本：荒川稔久
            、制作会社：日本アニメーション",「やくならマグカップも 二番窯」公式サイト,https://yakumo-project.com/,「やくならマグカップも 二番窯」公式Twitter,https://twitter.com/yakumo_project
結城友奈は勇者である 大満開の章,最速放送日  2021年10月～(放送局未定),,「結城友奈は勇者である 大満開の章」公式サイト,https://yuyuyu.tv,「結城友奈は勇者である 大満開の章」公式Twitter,https://twitter.com/anime_yukiyuna
ルパン三世 PART6,最速放送日  2021年10月～(日本テレビ),"原作：モンキー・パンチ、監督：菅沼栄治、シリーズ構成：大倉崇裕、キャラクターデザイン：丸藤広貴、音楽：大野雄二
            、制作会社：トムス・エンタテインメント",「ルパン三世 PART6」公式サイト,http://lupin-pt6.com/,「ルパン三世 PART6」公式Twitter,https://twitter.com/lupin_anime
ワールドトリガー(3ndシーズン),最速放送日  2021年10月～(放送局未定),原作：葦原大介「週刊少年ジャンプ」「ジャンプスクエア」（集英社）連載,「ワールドトリガー(3ndシーズン)」公式サイト,http://www.toei-anim.co.jp/tv/wt/,「ワールドトリガー(3ndシーズン)」公式Twitter,https://twitter.com/Anime_W_Trigger
